Company Name	Number	URL	is_b2b	serves_1000	sales_pitch	matched_golden_partner	match_reasoning	Industry	Avg Leads Per Day	Rank
Attolight	'+41 21 626 01 00	http://www.attolight.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformationslösungen für Industrieunternehmen mit komplexen technischen Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Zielgruppe: Industrieunternehmen mit komplexen technischen Anlagen, die Wartungs- und Asset-Management-Lösungen benötigen.; Ähnliche Dienstleistungen: IT-Beratung und kundenspezifische Softwarelösungen für die Wartung und das Asset Management komplexer technischer Anlagen.; Technologische Ausrichtung: Fokus auf digitale Transformation, KI und Augmented Reality im industriellen Umfeld.	Semiconductor Industry	8.0	19.0
Namox GmbH	'+49 351 2780150	http://www.namox.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Full-Service Digital Marketing Agentur, die Unternehmen dabei hilft, ihre Online-Präsenz durch Webdesign, SEO und SEA zu verbessern. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	PNP Media	Ähnliche Dienstleistungen: Suchmaschinenoptimierung (SEO) und Suchmaschinenwerbung (SEA).; Gemeinsame Zielgruppe: Unternehmen, die ihre Online-Präsenz verbessern und ihr Geschäft ausbauen möchten.; Fokus auf datengesteuerte Ansätze und messbare Ergebnisse.	Amazon Marketplace Services	5.0	34.0
Evolution Design	'+41 44 253 95 00	http://www.evolution-design.info	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und smarter Rufsysteme für Pflegekräfte, das sich an Seniorenresidenzen und Pflegeeinrichtungen richtet. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	visitronic GmbH	Überschneidung im Bereich Dienstleistungen für Seniorenresidenzen und Pflegeeinrichtungen.; visitronic bietet innovative Rufsysteme für Pflegekräfte an, was mit dem Fokus auf 'Workplace Innovation' des Zielunternehmens in Verbindung steht.; Beide Unternehmen bieten Dienstleistungen im Bereich IT-Systeme an.	Architecture and Design	3.0	29.0
Compar AG - vision systems & robotics	'+41 55 416 10 60	http://www.compar.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und Unternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Ausrichtung auf industrielle Anwendungen und Automatisierung.; RODIAS bietet IT-Lösungen für die Wartung und das Asset Management komplexer technischer Anlagen, was gut zu den Inspektionssystemen von Compar passt.; Beide Unternehmen setzen auf digitale Transformation und innovative Technologien zur Effizienzsteigerung.	Industrial Machine Vision Systems	8.0	19.0
Effingerhof AG (EFFAG)	'+41 56 460 77 88	http://www.effingermedien.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Medien, das Fachzeitschriften und Online-Marketing-Dienstleistungen für kleine und mittelständische Unternehmen (KMU) anbietet. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Schlütersche Verlagsgesellschaft mbH & Co. KG	Gemeinsame Branche: Medien (Verlagswesen und digitale Marketingdienstleistungen); Ähnliche Produkte/Dienstleistungen: Verlag von Fachzeitschriften und Büchern sowie Online-Marketing-Dienstleistungen für KMU; Zielgruppe: Kleine und mittelständische Unternehmen (KMU) in Deutschland	Printing and Publishing	1.0	41.0
PANOLIN	'+41 44 956 65 65	http://www.panolin.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digital Marketing Agentur, die Webdesign, SEO und Performance Marketing anbietet und sich an Unternehmen richtet, die im digitalen Bereich erfolgreich sein wollen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	PNP Media	Gemeinsame Ausrichtung auf digitale Themen und Technologien.; PNP Media bietet Webdesign und Entwicklung, was für Leser von Wissenschafts- und Technologieartikeln relevant ist.; SEO und Online-Marketing-Dienstleistungen können Startups und Unternehmer ansprechen.	Science and Technology	5.0	34.0
MedSolution AG	'+41 44 366 53 70	http://www.medsolution.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Beratungsunternehmen im Bereich Personalvermittlung und IT-Projektmanagement, das ebenfalls Unternehmen im Gesundheitssektor anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MS Company Solutions GmbH	Gemeinsame Zielgruppe: Unternehmen im Gesundheitssektor (Ärztenetze, einzelne Arztpraxen) für Dienstleistungen und Beratung.; Ähnliche Dienstleistungen: Beratung und Projektmanagement im IT-Bereich.; Fokus auf die Unterstützung von Unternehmen im Gesundheitswesen durch innovative Lösungen.	Healthcare Management	5.0	30.0
Balance Familie AG	'+41 56 676 68 68	http://www.balancefamilie.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Premium-Schokoladenherstellung, das ebenfalls Hotels und Gastronomie mit hochwertigen, maßgeschneiderten Produkten beliefert. Für dieses Unternehmen generieren wir täglich 15 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Coppeneur	Gemeinsame Zielgruppe: Hotels und Gastronomiebetriebe.; Ähnliche Dienstleistungen: Angebot von hochwertigen Produkten für Hotels und Gastronomie.; Fokus auf Kundenerlebnis und hochwertige Gastronomie.	Hospitality	15.0	8.0
QCS - Quick Cargo Service AG	'+41 844 400 000	http://www.quick-cargo-service.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen und Supply Chain Management, das ebenfalls Unternehmen im Transport- und Logistiksektor anspricht, die ihre Prozesse digitalisieren und effizienter gestalten möchten. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Gemeinsame Branche: Logistik und Transport.; Ähnliche Produkte/Services: Digitale Lösungen für Logistikprozesse und Supply Chain Management.; Fokus auf Effizienzsteigerung und Automatisierung in der Logistik.	Transport, Logistics, and Freight Forwarding	5.0	20.0
futura21 - a Grant Alexander Company	'+41 22 879 88 11	http://www.futura21.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Business Process Optimization Consulting, das sich ebenfalls an Produktionsfirmen und Dienstleister richtet. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Denkmal Zukunft GmbH & Co. KG	Gemeinsame Ausrichtung auf Business Process Optimization Consulting.; Überschneidung im Bereich Leadership Development und Change Management Consulting.; Fokus auf die Entwicklung von Strategien und Visionen für Unternehmen.	Consulting and Training	2.0	42.0
Wirz Unternehmungen	'+41 31 990 77 77	http://www.wirz-unternehmungen.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Gemeinsame Branche: Baugewerbe/Bauindustrie.; Ähnliche Dienstleistungen: Digitale Vermessung und Navigation im Bauwesen.; SitePlan GmbH bietet eine App für Bauingenieure, was eine Überschneidung mit den Dienstleistungen von Wirz-Unternehmungen darstellt.	Construction and related services	5.0	11.0
OYM COLLEGE	'+41 41 269 69 99	http://www.oym-college.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning, das digitale Lernplattformen für den Bildungssektor anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Branche: Bildung, insbesondere E-Learning und digitale Lernlösungen.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Inhalte.; Überschneidende Zielgruppe: Bildungssektor, insbesondere im Bereich der beruflichen Weiterbildung und Kompetenzentwicklung.	Education	8.0	6.0
Baumer AG	'+41 52 723 42 42	http://www.baumer.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnologie für Druck- und Mailprozesse, das sich an Unternehmen richtet, die hohe Druckvolumen und automatisierte Postbearbeitung benötigen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	BlueCrest Inc.	Gemeinsame Ausrichtung auf Automatisierung von Prozessen, insbesondere im Bereich Druck und Dokumentenmanagement.; Überschneidung im Bereich Druck- und Mail-Automatisierung.; Fokus auf Softwarelösungen zur Effizienzsteigerung in Unternehmen.	Printing and Document Management	5.0	38.0
Syslog	'+41 26 425 53 00	http://www.syslog.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im Industriesektor spezialisiert hat und massgeschneiderte Softwarelösungen für die Wartung komplexer technischer Anlagen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Ausrichtung auf IT-Dienstleistungen und digitale Transformation.; RODIAS bietet massgeschneiderte IT-Lösungen für die Wartung und das Asset Management komplexer technischer Anlagen, was gut zu den ERP- und Integrationsdienstleistungen von Syslog passt.; Beide Unternehmen zielen auf die Optimierung von Geschäftsprozessen durch IT-Lösungen ab.	IT Services and ERP Solutions	8.0	19.0
KERN Tunneltechnik	'+41 91 921 48 91	http://www.kern-tunneltechnik.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für den Tiefbau, das sich an Bauunternehmen im Bereich Tiefbau und Untergrundbau richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Branche: Baugewerbe/Tiefbau (Tunnelbau ist ein Teilbereich).; Ähnliche Produkte/Services: Software und technische Lösungen für den Tiefbau.; SitePlan bietet GPS-gestützte Karten, die im Tunnelbau nützlich sein könnten.	Tunneling Industry	5.0	11.0
Abilene Advisors	'+41 21 802 35 54	http://www.abileneadvisors.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich eSignatur-Software, das sich auf die Digitalisierung von Geschäftsprozessen für KMUs und DATEV-Nutzer spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Gemeinsame Zielgruppe: SMEs und Unternehmen, die DATEV nutzen (z.B. Steuerberater, Wirtschaftsprüfer, Anwaltskanzleien).; Ähnliche Dienstleistungen: Lösungen für die Digitalisierung von Geschäftsprozessen.; Fokus auf Compliance: tegoly bietet Lösungen, die den gesetzlichen Anforderungen (eIDAS, GDPR) entsprechen, was für GRC-Dienstleistungen relevant ist.	Governance, Risk Management, and Compliance (GRC)	8.0	12.0
Microlife AG	'+41 71 727 70 00	http://www.microlife.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Gemeinsame Branche: Medizintechnik und Digitalisierung von Gesundheitsprozessen.; Ähnliche Zielgruppe: Krankenhäuser und Gesundheitseinrichtungen.; Fokus auf innovative Lösungen und Technologien im Gesundheitsbereich, insbesondere im Bereich der Patientenüberwachung.	Medical Device Manufacturing	5.0	4.0
VMAX E-SCOOTER	'+41 62 511 11 55	http://www.vmax-escooter.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das sich an Unternehmen im Transport- und Logistiksektor richtet, die ihre Prozesse effizienter gestalten wollen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Beide Unternehmen bieten Lösungen für den Transport- und Logistikbereich an.; NxtLog bietet digitale Lösungen für die Optimierung von Logistikprozessen, was für Unternehmen relevant ist, die E-Scooter für kommerzielle Zwecke nutzen.; NxtLog bietet Supply-Chain-Management-Lösungen, die für die E-Scooter-Herstellung relevant sein könnten.	E-Scooter Manufacturing and Retail	5.0	20.0
Intermakler AG	41313505505.0	http://www.intermakler.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für digitale Signaturen, das sich an KMUs und DATEV-Nutzer richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	tegoly	Gemeinsame Zielgruppe: Kleine und mittlere Unternehmen (KMU).; Ähnliche Produkte/Services: Bietet digitale Lösungen an, tegoly bietet eSignatur-Lösungen als SaaS.; Zielgruppe: Unternehmen, die DATEV nutzen (z.B. Steuerberater), ähnliche Unternehmen könnten Interesse an Versicherungs- und Vorsorgelösungen haben.	Insurance and Pension Brokerage	8.0	12.0
Ambrofood SA	'+41 91 935 50 40	http://www.ambrofood.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Automatisierungstechnologie und Verpackungslösungen, das ebenfalls die Lebensmittel- und Getränkeindustrie bedient. Für dieses Unternehmen generieren wir täglich 6 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	project Service & Produktion GmbH	Überschneidung in der Zielgruppe: Lebensmittel- und Getränkeindustrie.; Ähnliche Produkte/Services: Automatisierungstechnologie und Verpackungslösungen.	Food and Beverage	6.0	27.0
Qube Creatives	'+41 58 513 98 00	http://www.qube.ag	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitalmarketing, das ebenfalls Unternehmen anspricht und Dienstleistungen im Bereich Webdesign anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	PNP Media	Gemeinsame Zielgruppe: Unternehmen.; Ähnliche Dienstleistungen: Webdesign und Entwicklung.; Überschneidung im Bereich Branding.	Branding and Design Agency	5.0	34.0
Alohi	'+41 22 518 55 77	http://www.alohi.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Dokumentenmanagement, das ebenfalls Unternehmen anspricht, die ihre Dokumentenprozesse digitalisieren möchten. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Uberblick.io	Gemeinsame Ausrichtung auf Dokumentenmanagement-Software.; Ähnliche Dienstleistungen: Intelligente Dokumentenverwaltung und Automatisierung.; Zielgruppe: Unternehmen, die ihre Dokumentenprozesse digitalisieren möchten.	Document Workflow Solutions	3.0	25.0
point break	'+41 71 571 22 50	http://www.point-break.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Webentwicklung und Online Marketing spezialisiert hat und ebenfalls Unternehmen anspricht, die ihre Prozesse digitalisieren möchten. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Digitalagentur1	Direkte Übereinstimmung als Digitalagentur.; Ähnliche Dienstleistungen: Webentwicklung, SEO, Online Marketing.; Fokus auf Digitalisierung und Automatisierung von Prozessen.	Digital Agency	3.0	26.0
Startup Academy Switzerland	'+41 61 271 80 45	http://www.startup-academy.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die Webdesign und Marketinglösungen für Startups anbietet, die sich an Gründer und junge Unternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	PNP Media	Gemeinsame Zielgruppe: Startups und Scaleups, die Unterstützung in verschiedenen Bereichen suchen.; Ähnliche Produkte/Services: Angebote im Bereich Webdesign und digitale Marketingstrategien, die für Startups relevant sind.; Fokus auf die Unterstützung von Unternehmen in der frühen Phase ihrer Entwicklung.	Non-profit Association	5.0	34.0
inoversum AG	'+41 44 915 37 50	http://www.inoversum.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Consulting und Personaldienstleistungen, das sich ebenfalls an den öffentlichen Sektor richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MS Company Solutions GmbH	Gemeinsame Ausrichtung auf den öffentlichen Sektor durch Consulting.; Überschneidung im Bereich Personaldienstleistungen (Recruitment).; Ähnliche Dienstleistungen im Bereich Projektmanagement.	Consulting and HR Services for Public Sector	5.0	30.0
Karr Dental AG	'+41 44 727 40 00	http://www.karrdental.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Lösungen für Apotheken, das ebenfalls Apotheken anspricht, die medizinischen Cannabis vertreiben. Für dieses Unternehmen generieren wir täglich 40 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Cannaleo Digital GmbH	Gemeinsame Zielgruppe: Apotheken (Cannaleo Digital zielt auf Apotheken für medizinische Cannabis-Websites ab, während Karr Dental Produkte an Zahnarztpraxen vertreibt, die eine ähnliche B2B-Struktur aufweisen).; Karr Dental bietet 'The Wand anesthesia system' an, was eine Verbindung zum medizinischen Bereich herstellt, ähnlich wie Cannaleo Digital, das digitale Lösungen für medizinischen Cannabis anbietet.; Beide Unternehmen bieten Lösungen für Fachkräfte im Gesundheitswesen an.	Dental Products and Solutions	40.0	2.0
Faust Laborbedarf AG	'+41 52 630 01 01	http://www.faust.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech, das intelligente Systeme zur Überwachung von Drainagen und Kathetern für Krankenhäuser und Gesundheitseinrichtungen entwickelt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Elixion Medical	Potenzielle Synergien durch die Digitalisierung von Prozessen im Gesundheitswesen.; Ähnliche Zielgruppe: Krankenhäuser und Gesundheitseinrichtungen.; Fokus auf innovative Technologien und Lösungen.	Laboratory Equipment and Supplies	5.0	4.0
Consel Group AG - designed for security	'+41 43 277 60 70	http://www.conselgroup.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen und Sicherheitstechnik, das unter anderem Rufsysteme für Pflegeeinrichtungen anbietet. Für dieses Unternehmen generieren wir täglich 3 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	visitronic GmbH	Überschneidung im Bereich Sicherheitstechnik: Beide Unternehmen bieten Lösungen für Sicherheitsanforderungen an.; Ähnliche Dienstleistungen: Installation und Wartung von Sicherheitssystemen.; Gemeinsame Zielgruppe: visitronic bietet Rufsysteme für Pflegeeinrichtungen, was eine potenzielle Überschneidung mit conselgroups Kunden im Bereich Städte und Gemeinden darstellt, die möglicherweise ähnliche Sicherheitslösungen für öffentliche Einrichtungen benötigen.	Security Solutions	3.0	29.0
POWER-HYDRAULIK GmbH	'+49 74 5495840	http://www.power-hydraulik.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das eine innovative App für digitale Vermessung und Navigation im Tiefbau anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Zielgruppe: Bauindustrie (insbesondere Tiefbauunternehmen).; Technologische Überschneidung: Beide Unternehmen bieten Lösungen für die Bauindustrie an, wobei SitePlan digitale Vermessungslösungen und Power-Hydraulik hydraulische Systeme anbietet.; Bezug zur Baumaschinenindustrie durch GPS-gestützte Karten von SitePlan und hydraulische Systeme von Power-Hydraulik.	Hydraulic Engineering	5.0	11.0
Loewe Zeitarbeit GmbH	'+49 89 54047400	http://www.loewe-muc.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalvermittlung im Gesundheitswesen, das ebenfalls Krankenhäuser, Kliniken und Pflegeeinrichtungen anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MEDWING GmbH	Direkte Überschneidung im Bereich Personaldienstleistungen.; Gemeinsame Zielgruppe: Unternehmen im Gesundheitswesen, insbesondere Krankenhäuser und Pflegeeinrichtungen.; MEDWING bietet Personalvermittlung und Zeitarbeit im Gesundheitsbereich an, ähnlich LOEWEs Arbeitnehmerüberlassung.	Personnel Services	5.0	24.0
Nord-Transport AG	'+41 61 467 19 00	http://www.nordtransport.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das ebenfalls Unternehmen im Bereich Logistik, Transport und Supply Chain Management anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Gemeinsame Branche: Logistik und Transport.; Ähnliche Produkte/Services: Digitale Lösungen für Logistik und Supply Chain Management.; Fokus auf Effizienzsteigerung und Automatisierung von Logistikprozessen.	Forwarding and Logistics	5.0	20.0
ITC AG	'+49 351 32017600	http://www.itc-ag.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation im Bereich Anlagenverwaltung und Wartung spezialisiert hat und Industrieunternehmen mit komplexen technischen Anlagen als Zielgruppe hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Ähnliche Ausrichtung auf die Digitalisierung von Prozessen.; Fokus auf Energieeffizienz und -management durch IT-Lösungen.; Überschneidung im Bereich der Anlagenverwaltung und Wartung.	Energy Management Solutions	8.0	19.0
Oncologie | UNIL-CHUV	41791321212.0	http://www.etudes-cliniques-oncologie.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich KI-gestützte Frühwarnsysteme für Krankenhäuser, das sich ebenfalls an Kliniken und Krankenhäuser richtet. Für dieses Unternehmen generieren wir täglich 4 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Medlytics GmbH	Gemeinsame Zielgruppe: Krankenhäuser und Kliniken.; Ähnlicher Fokus auf Gesundheitswesenstechnologie.; Medlytics bietet KI-gestützte Frühwarnsysteme, die in der Onkologie relevant sein könnten.	Oncology	4.0	31.0
Tschopp Holzbau AG Hochdorf	'+41 41 914 20 20	http://www.tschopp-holzbau.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitales Vermessen und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Branche: Baugewerbe/Bautechnik.; Überschneidung bei Dienstleistungen: Digitales Vermessen und Navigation.; Gemeinsame Zielgruppe: Bauunternehmen.	Timber Construction	5.0	11.0
APROA AG	41279481550.0	http://www.aproa.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Business Process Optimization Consulting, das sich an Produktionsfirmen und Dienstleister richtet. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Denkmal Zukunft GmbH & Co. KG	Gemeinsame Ausrichtung auf Business Consulting und Prozessoptimierung.; Fokus auf Effizienzsteigerung und Organisationsentwicklung.; Ähnliche Zielgruppe: Dienstleister und Unternehmen, die ihre Prozesse verbessern wollen.	Business Consulting	2.0	42.0
Bischoff Textil AG	'+41 71 272 01 11	http://www.bischoff-textil.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich nachhaltige Verpackungslösungen für Medikamente, das sich an Apotheken und Pflegeeinrichtungen richtet. Für dieses Unternehmen generieren wir täglich 10 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	go.ecoblister GmbH	Überschneidung im Bereich medizinischer Produkte: Bischoff Textil bietet medizinische Produkte an, während go.ecoblister GmbH nachhaltige Verpackungslösungen für Medikamente bereitstellt.; Gemeinsame Zielgruppe: Medizinprodukteindustrie und Pharmazeutische Industrie.; Mögliche Synergien: Technische Textilien von Bischoff Textil könnten in der Verpackung von go.ecoblister verwendet werden.	Textile Manufacturing & Real Estate	10.0	1.0
Key-Flex Groupe	'+41 22 301 67 74	http://www.key-flex.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalvermittlung im Gesundheitswesen, das ebenfalls Krankenhäuser, Kliniken und Pflegeeinrichtungen anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	MEDWING GmbH	Direkte Überschneidung im Bereich Personalvermittlung, insbesondere im Gesundheitswesen.; Gemeinsame Zielgruppe: Unternehmen im Gesundheitswesen, einschließlich Krankenhäuser, Kliniken und Pflegeeinrichtungen.; Sowohl Key-Flex als auch MEDWING bieten Personalvermittlungsdienste an, einschließlich temporärer Lösungen.	Staffing Agency	5.0	24.0
